SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260831,193.03,233.53,182.0,218.03,947322878.88,20 MICRONS LTD,Diversified,Cash Only,20260831,217.9,190.0,192.46,200.12,203.95,196.29000000000002,203.95,196.29000000000002,7.659999999999968,3.9800478021406875,Wide,Bearish,Above CPR,False,False,0.6923076923076923,13,481523776.83,False,False,Outside,True,Neutral,False,None,,,,,1.9673439287182874,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
21STCENMGM,20260831,40.17,46.49,39.94,40.34,9089860.709999999,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260831,40.17,30.6,40.17,36.980000000000004,35.385000000000005,38.575,38.575,35.385000000000005,3.1899999999999977,7.941249688822498,Wide,Bullish,Above CPR,False,False,0.9230769230769231,13,4119955.5,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,2.206300701548839,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
360ONE,20260831,1153.6,1222.9,1136.6,1175.0,20560508718.9,360 ONE WAM LIMITED,Financial Services,F&O + Cash,20260831,1170.0,1060.6,1135.3,1121.9666666666665,1115.3,1128.633333333333,1128.633333333333,1115.3,13.33333333333303,1.174432602249012,Wide,Bullish,Above CPR,False,False,0.38461538461538464,13,18570182389.2,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,1.107178609665004,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
3BBLACKBIO,20260831,1247.1,1510.0,1099.5,1447.8,408917027.8,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260831,1321.9,1125.0,1247.1,1231.3333333333333,1223.45,1239.2166666666665,1239.2166666666665,1223.45,15.766666666666424,1.264266431454288,Wide,Bullish,Above CPR,False,False,0.2,5,338614086.0,True,False,Inside,False,Neutral,False,None,,,,,1.2076196611619991,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
3IINFOLTD,20260831,23.41,27.8,23.32,26.93,513144535.92,3I INFOTECH LIMITED,Information Technology,Cash Only,20260831,23.32,17.0,23.21,21.176666666666666,20.16,22.19333333333333,22.19333333333333,20.16,2.0333333333333314,8.760591698980317,Wide,Bullish,Above CPR,False,False,1.0,13,193018685.63,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,2.6585225893810787,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
3MINDIA,20260831,35170.0,37300.0,33125.0,33320.0,3027343905.0,3M INDIA LIMITED,Diversified,Cash Only,20260831,36880.0,33040.0,34615.0,34845.0,34960.0,34730.0,34960.0,34730.0,230.0,0.6644518272425249,Moderate,Bearish,Below CPR,False,False,0.38461538461538464,13,3027343905.0,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,1.0,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
3PLAND,20260831,33.0,33.0,31.4,31.49,3874879.46,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260831,34.5,31.0,31.7,32.4,32.75,32.05,32.75,32.05,0.7000000000000028,2.208201892744489,Wide,Bearish,Below CPR,False,False,0.38461538461538464,13,3874879.46,True,True,Overlapping,True,Neutral,False,None,,,,,1.0,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
5PAISA,20260831,353.75,416.95,348.1,356.6,610419877.9499999,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260831,400.0,344.0,348.6,364.2,372.0,356.4,372.0,356.4,15.600000000000023,4.475043029259903,Wide,Bearish,Inside CPR,False,False,0.6923076923076923,13,510055206.85,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,1.1967721724082228,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
63MOONS,20260831,941.25,957.95,739.1,778.85,7980676273.900001,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260831,950.0,650.0,931.4,843.8000000000001,800.0,887.6000000000001,887.6000000000001,800.0,87.60000000000014,9.4051964784196,Wide,Bullish,Below CPR,False,False,0.8461538461538461,13,2560207404.55,False,False,Higher,True,Neutral,False,Bullish Virgin,,,,,3.1171991221167255,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
A2ZINFRA,20260831,15.76,17.95,14.06,16.75,202081791.96,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260831,15.95,12.0,15.55,14.5,13.975,15.025,15.025,13.975,1.0500000000000007,6.752411575562705,Wide,Bullish,Above CPR,False,False,0.9,10,69531936.575,False,False,Overlapping,True,Neutral,False,None,,,,,2.9063161751870132,False,False,No setup,0.0,None,Sep 2026,Monthly,0,0,0,0
