SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe
20MICRONS,20260630,186.72,219.45,178.0,201.41,2393240848.0699997,20 MICRONS LTD,20260630,199.62,198.725,200.51500000000001,200.51500000000001,198.725,1.7900000000000205,0.8887344223226356,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.2727272727272727,11,468682055.98,Higher,True,Unknown,False,,,,,5.1063206229771385,False,False,No setup,Jul 2026,Monthly
21STCENMGM,20260630,35.5,35.5,30.74,32.39,2373068.13,21ST CENTURY MGMT SERVICE,20260630,32.876666666666665,33.12,32.63333333333333,33.12,32.63333333333333,0.4866666666666646,1.502521354327461,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.09090909090909091,11,3997829.77,Lower,True,Unknown,True,,,,,0.5935890887119988,False,False,Short,Jul 2026,Monthly
360ONE,20260630,1108.0,1165.1,1031.3,1074.6,23828802488.2,360 ONE WAM LIMITED,20260630,1090.3333333333333,1098.1999999999998,1082.4666666666667,1098.1999999999998,1082.4666666666667,15.733333333333121,1.4641106768409755,Wide,Bearish,Below CPR,Financial Services,True,False,False,0.2727272727272727,11,17786157106.0,Overlapping,True,Unknown,False,,,,,1.3397386712704549,False,False,No setup,Jul 2026,Monthly
3BBLACKBIO,20260630,1172.1,1441.5,1085.0,1168.8,391848360.9,3B BLACKBIO DX LTD.,20260630,1231.7666666666667,1263.25,1200.2833333333333,1263.25,1200.2833333333333,62.9666666666667,5.387291809263065,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,3,252246669.6,Overlapping,False,Unknown,False,,,,,1.5534332386682181,False,False,No setup,Jul 2026,Monthly
3IINFOLTD,20260630,17.24,18.3,16.25,17.17,98104541.78999999,3I INFOTECH LIMITED,20260630,17.24,17.275,17.205,17.275,17.205,0.07000000000000028,0.40768782760629163,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.18181818181818182,11,141498024.78,Lower,True,Unknown,True,,,,,0.6933279948079286,False,False,Short,Jul 2026,Monthly
3MINDIA,20260630,33090.0,34295.0,31010.0,32900.0,2145919025.0,3M INDIA LIMITED,20260630,32735.0,32652.5,32817.5,32817.5,32652.5,165.0,0.5015197568389058,Moderate,Bullish,Above CPR,Diversified,True,False,False,0.18181818181818182,11,3161500715.0,Overlapping,True,Unknown,True,,,,,0.6787659464438869,False,False,No setup,Jul 2026,Monthly
3PLAND,20260630,31.2,37.0,30.0,31.56,2441349.97,3P LAND HOLDINGS LIMITED,20260630,32.85333333333333,33.5,32.20666666666666,33.5,32.20666666666666,1.2933333333333366,4.0980143641740705,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.7272727272727273,11,5330714.95,Overlapping,True,Unknown,False,,,,,0.4579779622243729,False,False,No setup,Jul 2026,Monthly
5PAISA,20260630,346.0,359.75,299.0,355.95,299090946.45,5PAISA CAPITAL LIMITED,20260630,338.23333333333335,329.375,347.0916666666667,347.0916666666667,329.375,17.716666666666697,4.977290817998791,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7272727272727273,11,495813349.5,Higher,True,Unknown,False,,,,,0.6032329439124954,False,False,No setup,Jul 2026,Monthly
63MOONS,20260630,613.0,695.0,604.0,654.75,1640105016.7,63 MOONS TECHNOLOGIES LTD,20260630,651.25,649.5,653.0,653.0,649.5,3.5,0.5345551737304315,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.09090909090909091,11,2501577323.75,Inside,True,Unknown,True,,,,,0.6556283514120578,False,False,No setup,Jul 2026,Monthly
A2ZINFRA,20260630,14.83,15.68,13.26,13.43,64572639.55,A2Z INFRA ENGINEERING LTD,20260630,14.123333333333333,14.469999999999999,13.776666666666667,14.469999999999999,13.776666666666667,0.6933333333333316,5.162571357656974,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.75,8,65881696.405,Lower,True,Unknown,False,,,,,0.9801301890140665,False,False,No setup,Jul 2026,Monthly
AAATECH,20260630,93.22,102.0,90.6,97.76,37997001.69,AAA TECHNOLOGIES LIMITED,20260630,96.78666666666668,96.3,97.27333333333335,97.27333333333335,96.3,0.9733333333333576,0.99563557010368,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3333333333333333,9,53643953.65,Overlapping,True,Unknown,False,,,,,0.7083184423339013,False,False,No setup,Jul 2026,Monthly
AADHARHFC,20260630,473.15,542.0,449.8,515.6,6690253125.15,AADHAR HOUSING FINANCE L,20260630,502.4666666666667,495.9,509.0333333333334,509.0333333333334,495.9,13.13333333333344,2.547194207395935,Wide,Bullish,Above CPR,Financial Services,True,False,False,0.9090909090909091,11,3530789928.65,Higher,True,Unknown,False,,,,,1.8948318252703362,False,False,No setup,Jul 2026,Monthly
AAKASH,20260630,10.45,10.6,8.55,8.61,20222601.62,AAKASH EXPLORATION SER L,20260630,9.253333333333332,9.575,8.931666666666665,9.575,8.931666666666665,0.6433333333333344,7.4719318621757775,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,8,18442416.435000002,Lower,True,Unknown,False,,,,,1.0965266775790599,False,False,No setup,Jul 2026,Monthly
AARNAV,20260630,24.9,26.8,23.2,25.18,68182942.08,AARNAV FASHIONS LIMITED,20260630,25.060000000000002,25.0,25.120000000000005,25.120000000000005,25.0,0.12000000000000455,0.476568705321702,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.4,5,45352990.2,Higher,False,Unknown,False,,,,,1.5033836088717254,False,False,No setup,Jul 2026,Monthly
