Symbol,Sector
360ONE,Financial Services
3MINDIA,Diversified
5PAISA,Stock Broking
AADHARHFC,Financial Services
AARTIIND,Specialty Chemicals
AAVAS,Financial Services
ABB,Capital Goods & Engineering
ABBOTINDIA,Healthcare & Pharma
ABCAPITAL,Financial Services
ABFRL,Retail & Apparel
ABLBL,Retail & Apparel
ABREL,Real Estate
ABSLAMC,Asset Management
ACC,Cement & Building Materials
ACE,Capital Goods & Engineering
ACMESOLAR,Power & Utilities
ACUTAAS,Healthcare & Pharma
ADANIENSOL,Power & Utilities
ADANIENT,Metals & Mining
ADANIGREEN,Power & Utilities
ADANIPORTS,Logistics & Ports
ADANIPOWER,Power & Utilities
AEGISLOG,Energy & Gas
AEGISVOPAK,Energy & Gas
AIAENG,Capital Goods & Engineering
AJANTPHARM,Healthcare & Pharma
ALKEM,Healthcare & Pharma
ALKYLAMINE,Specialty Chemicals
ALLCARGO,Logistics
AMARAJABAT,Auto Ancillary
AMBER,Electronics Manufacturing
AMBUJACEM,Cement & Building Materials
ANGELONE,Stock Broking
APLAPOLLO,Metals & Mining
APOLLOHOSP,Healthcare & Hospitals
APOLLOTYRE,Auto Ancillary
ASHOKLEY,Automobile
ASTRAL,Building Materials & Pipes
ATGL,Energy & Gas
ATUL,Specialty Chemicals
AUBANK,Banking
AUROPHARMA,Healthcare & Pharma
AWL,FMCG
AXISBANK,Banking
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BALAMINES,Specialty Chemicals
BALKRISIND,Auto Ancillary
BANDHANBNK,Banking
BANKBARODA,Banking
BATAINDIA,Footwear
BAYERCROP,Agrochemicals
BDL,Aerospace & Defense
BEL,Aerospace & Defense
BHARATFORG,Auto Ancillary
BHARTIARTL,Telecommunications
BHEL,Capital Goods & Heavy Electricals
BIKAJI,FMCG
BIOCON,Healthcare & Pharma
BLUEDART,Logistics & Express
BLUESTARCO,Consumer Electricals
BOSCHLTD,Auto Ancillary
BPCL,Energy & Oil
BRIGADE,Real Estate
BRITANNIA,FMCG
BSE,Financial Exchanges
BSOFT,Information Technology
CAMPUS,Footwear
CAMS,Financial Technology
CANBK,Banking
CDSL,Financial Infrastructure
CEATLTD,Auto Ancillary
CENTRALBK,Banking
CERA,Ceramics & Sanitaryware
CESC,Power & Utilities
CHENNPETRO,Energy & Oil
CHOLAFIN,Financial Services
CIPLA,Healthcare & Pharma
CLEAN,Specialty Chemicals
COALINDIA,Metals & Mining
COCHINSHIP,Defense & Shipbuilding
COFORGE,Information Technology
COLPAL,FMCG
COROMANDEL,Fertilizers & Agrochem
CPPLUS,Capital Goods & Engineering
CRAFTSMAN,Auto Ancillary
CROMPTON,Consumer Electricals
CUB,Banking
CYIENT,Information Technology
DABUR,FMCG
DALBHARAT,Cement & Building Materials
DATAPATTNS,Aerospace & Defense
DEEPAKNTR,Specialty Chemicals
DELHIVERY,Logistics & Supply Chain
DIVISLAB,Healthcare & Pharma
DIXON,Electronics Manufacturing
DLF,Real Estate
DMART,Retail & Supermarkets
DRREDDY,Healthcare & Pharma
ECLERX,Services
EICHERMOT,Automobile
EMAMILTD,FMCG
EXIDEIND,Auto Ancillary
FEDERALBNK,Banking
FINEORG,Specialty Chemicals
FINPIPE,Building Materials & Pipes
FLUOROCHEM,Specialty Chemicals
FORTIS,Healthcare & Hospitals
GABRIEL,Auto Ancillary
GAIL,Energy & Gas
GEOJITFSL,Stock Broking
GICRE,Insurance
GLENMARK,Healthcare & Pharma
GODREJCP,FMCG
GODREJPROP,Real Estate
GRANULES,Healthcare & Pharma
GRINFRA,Infrastructure
GRSE,Defense & Shipbuilding
GUJALKALI,Chemicals
GUJGASLTD,Energy & Gas
HAL,Aerospace & Defense
HAPPSTMNDS,Information Technology
HAVELLS,Consumer Electricals
HCLTECH,Information Technology
HDFCAMC,Asset Management
HDFCBANK,Banking
HDFCLIFE,Insurance
HEIDELBERG,Cement & Building Materials
HEROMOTOCO,Automobile
HFCL,Telecom Equipment
HINDALCO,Metals & Mining
HINDUNILVR,FMCG
HINDZINC,Metals & Mining
HPCL,Energy & Oil
ICICIBANK,Banking
ICICIGI,Insurance
ICICIPRULI,Insurance
IDEA,Telecommunications
IDFCFIRSTB,Banking
IEX,Financial Exchanges
IGL,Energy & Gas
INDUSINDBK,Banking
INDUSTOWER,Telecom Infrastructure
INFY,Information Technology
IOB,Banking
IOC,Energy & Oil
IPCALAB,Healthcare & Pharma
IRCON,Railway Infrastructure
IREDA,Power & Utilities
IRFC,Railway Finance
ITC,FMCG
JINDALSTEL,Metals & Mining
JKBANK,Banking
JKCEMENT,Cement & Building Materials
JSL,Metals & Mining
JSWENERGY,Power & Utilities
JSWSTEEL,Metals & Mining
JWL,Railway Wagons
KAJARIACER,Ceramics & Sanitaryware
KALYANKJIL,Consumer Jewelry
KARURVYSYA,Banking
