SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260821,190.54,208.75,189.0,204.19,167211277.07,20 MICRONS LTD,20260821,200.64666666666668,198.875,202.41833333333335,202.41833333333335,198.875,3.5433333333333508,1.7353118827236156,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7592592592592593,54,105707073.88499999,Higher,True,Risk Off,False,20.050000000000004,190.0764,,0.17672485453034165,1.5818362094850074,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
21STCENMGM,20260821,43.25,46.49,43.05,43.31,2069538.6400000001,21ST CENTURY MGMT SERVICE,20260821,44.28333333333333,44.769999999999996,43.79666666666667,44.769999999999996,43.79666666666667,0.9733333333333292,2.2473639652120276,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6111111111111112,54,920441.15,Higher,True,Risk Off,False,2.847857142857144,39.7052,,0.34177744335757715,2.248420379727699,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
360ONE,20260821,1174.7,1222.9,1150.5,1199.0,5719802340.1,360 ONE WAM LIMITED,20260821,1190.8,1186.7,1194.8999999999999,1194.8999999999999,1186.7,8.199999999999818,0.683903252710577,Moderate,Bullish,Above CPR,Financial Services,True,False,False,0.42592592592592593,54,4232212160.15,Higher,True,Risk Off,False,65.62142857142861,1104.5929999999998,,0.12495918145204897,1.3514923457658787,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
3BBLACKBIO,20260821,1183.3,1225.0,1099.5,1202.5,99421103.2,3B BLACKBIO DX LTD.,20260821,1175.6666666666667,1162.25,1189.0833333333335,1189.0833333333335,1162.25,26.833333333333485,2.231462231462244,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7222222222222222,18,61231456.650000006,Overlapping,True,Risk Off,False,134.11428571428573,,,0.20007811390427607,1.623693255711564,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
3MINDIA,20260821,35280.0,35290.0,33290.0,33640.0,539775460.0,3M INDIA LIMITED,20260821,34073.333333333336,34290.0,33856.66666666667,34290.0,33856.66666666667,433.3333333333285,1.2881490289337945,Wide,Bearish,Below CPR,Diversified,True,False,False,0.7222222222222222,54,613237877.5,Lower,True,Risk Off,False,1972.5,33289.4,,0.2196873679763389,0.8802056751623272,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
3PLAND,20260821,32.45,32.77,31.5,32.11,319460.96,3P LAND HOLDINGS LIMITED,20260821,32.12666666666667,32.135000000000005,32.11833333333334,32.135000000000005,32.11833333333334,0.01666666666666572,0.05190491020450239,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.07407407407407407,54,797672.105,Lower,True,Risk Off,True,2.657857142857144,35.833,,0.006270715757412523,0.4004915779272487,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
5PAISA,20260821,385.65,416.95,373.5,384.25,325485741.2,5PAISA CAPITAL LIMITED,20260821,391.56666666666666,395.225,387.9083333333333,395.225,387.9083333333333,7.31666666666672,1.904142268488411,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5925925925925926,54,83163404.725,Higher,True,Risk Off,False,32.74285714285714,332.3896,,0.22345840605003073,3.9138097132542575,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
63MOONS,20260821,781.0,805.0,753.0,795.5,1274040688.35,63 MOONS TECHNOLOGIES LTD,20260821,784.5,779.0,790.0,790.0,779.0,11.0,1.3827781269641735,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5370370370370371,54,498675850.875,Lower,True,Risk Off,False,80.23928571428573,711.6620000000001,,0.13708995415498285,2.554847374530987,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
A2ZINFRA,20260821,14.9,15.94,14.06,15.46,34104467.39,A2Z INFRA ENGINEERING LTD,20260821,15.153333333333334,15.0,15.306666666666668,15.306666666666668,15.0,0.3066666666666684,1.983613626563185,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5757575757575758,33,16528404.97,Overlapping,True,Risk Off,False,1.836428571428571,,,0.16699079476209097,2.063385272317659,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AAATECH,20260821,92.97,96.05,90.05,95.71,11993478.77,AAA TECHNOLOGIES LIMITED,20260821,93.93666666666667,93.05,94.82333333333334,94.82333333333334,93.05,1.7733333333333405,1.852819280465302,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7567567567567568,37,10212694.55,Overlapping,True,Risk Off,False,6.940714285714286,,,0.25549723851669,1.1743696740641283,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AADHARHFC,20260821,498.2,501.95,459.75,462.55,1306544520.8,AADHAR HOUSING FINANCE L,20260821,474.75,480.85,468.65,480.85,468.65,12.200000000000045,2.637552697005739,Wide,Bearish,Below CPR,Financial Services,True,False,False,0.9629629629629629,54,826691131.55,Lower,True,Risk Off,False,34.357142857142854,489.52799999999996,,0.35509355509355645,1.5804506313625277,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AAKASH,20260821,8.79,9.59,8.06,8.71,11764823.65,AAKASH EXPLORATION SER L,20260821,8.786666666666667,8.825,8.748333333333335,8.825,8.748333333333335,0.07666666666666444,0.8802143130501082,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.4411764705882353,34,3925730.065,Outside,True,Risk Off,False,1.5914285714285714,,,0.04817474566127927,2.996849873833595,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AAREYDRUGS,20260821,86.46,86.46,77.07,81.2,123979013.89000002,AAREY DRUGS & PHARM LTD,20260821,81.57666666666665,81.76499999999999,81.38833333333332,81.76499999999999,81.38833333333332,0.37666666666666515,0.4638752052545137,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.047619047619047616,21,86538111.93,Lower,True,Risk Off,True,11.30857142857143,,,0.03330806804783547,1.4326521705290458,False,False,Short,Week 24 Aug – 28 Aug 2026,Weekly,0,-2,0,-2
AARNAV,20260821,32.26,36.9,29.99,33.71,11086879.9,AARNAV FASHIONS LIMITED,20260821,33.53333333333333,33.445,33.62166666666666,33.62166666666666,33.445,0.1766666666666623,0.5240779195095292,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.23076923076923078,26,9201177.675,Higher,True,Risk Off,True,3.8528571428571428,,,0.04585341737733171,1.2049413989823863,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AARON,20260821,141.85,147.89,136.8,137.64,18005003.06,AARON INDUSTRIES LIMITED,20260821,140.77666666666667,142.345,139.20833333333334,142.345,139.20833333333334,3.136666666666656,2.27889179502082,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,54,10287831.485,Overlapping,True,Risk Off,False,11.271428571428572,155.4302,,0.278284748626953,1.7501261647074888,False,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AARTIDRUGS,20260821,416.3,420.7,404.5,417.4,286858270.75,AARTI DRUGS LTD.,20260821,414.2,412.6,415.79999999999995,415.79999999999995,412.6,3.199999999999932,0.7666506947771758,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.37037037037037035,54,292570720.95000005,Lower,True,Risk Off,False,25.910714285714278,407.116,,0.12350103376981132,0.9804749765067015,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AARTIIND,20260821,534.1,537.9,516.2,527.2,2511409213.4,AARTI INDUSTRIES LTD,20260821,527.1,527.05,527.1500000000001,527.1500000000001,527.05,0.10000000000013642,0.018968133535685966,Narrow,Bullish,Above CPR,Chemicals,True,True,False,0.05555555555555555,54,1420725560.4499998,Inside,True,Risk Off,True,36.65357142857142,427.199,,0.002728247101241178,1.767694819683921,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
AARTIPHARM,20260821,860.0,892.0,806.4,816.8,1653812372.3,AARTI PHARMALABS LIMITED,20260821,838.4,849.2,827.5999999999999,849.2,827.5999999999999,21.600000000000136,2.6444662095984497,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8703703703703703,54,598624606.9749999,Overlapping,True,Risk Off,False,70.03214285714287,737.6669999999999,,0.30842980264164604,2.7626869210357525,True,False,No setup,Week 24 Aug – 28 Aug 2026,Weekly,0,0,0,0
