TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Industry,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
2026-08-13,2026-08-13,CM,NSE,STK,759062,INE0KKN01029,RHETAN,EQ,,,,,RHETAN TMT LIMITED,29.0,29.0,20.98,21.01,21.0,26.17,,21.01,,,51601319,1121066560.66,55969,F1,1,,,,,,Cash Only,23.663333333333338,24.99,22.336666666666673,24.99,22.336666666666673,2.653333333333329,12.628906869744544,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,186210653.72,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,15404,INE09KD01013,ATAM,EQ,,,,,ATAM VALVES LIMITED,66.0,66.0,52.3,54.35,54.5,64.88,,54.16,,,117162,6631120.11,1718,F1,1,,,,,,Cash Only,57.55,59.15,55.95000000000001,59.15,55.95000000000001,3.1999999999999886,5.887764489420403,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,477253.16,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,4130,INE277C01012,REGENCERAM,EQ,,,,,REGENCY CERAMICS LTD.,44.5,46.63,40.0,40.33,40.0,38.86,,40.35,,,428278,19128213.43,2804,F1,1,,,,,,Cash Only,42.32,43.315,41.325,43.315,41.325,1.9899999999999949,4.934292090255381,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,59437.49,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,5114,INE00QT01015,SGIL,EQ,,,,,SYNERGY GREEN IND. LTD,624.9,624.9,526.0,538.75,526.0,600.15,,538.7,,,82482,45920280.4,2137,F1,1,,,,,,Cash Only,563.2166666666667,575.45,550.9833333333333,575.45,550.9833333333333,24.466666666666697,4.541376643464816,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,5944295.15,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,21314,INE256H01015,DYNPRO,EQ,,,,,DYNEMIC PRODUCTS LIMITED,260.0,269.0,235.35,237.3,237.1,262.1,,237.29,,,55227,13745586.9,1141,F1,1,,,,,,Cash Only,247.2166666666667,252.175,242.25833333333335,252.175,242.25833333333335,9.916666666666629,4.178957718780711,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,2409840.7,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,762909,INE997I01012,SHRIKRISH,EQ,,,,,SHRI KRISHNA DEVCON LTD.,44.99,44.99,40.02,40.08,40.08,40.83,,40.54,,,348,14328.6,27,F1,1,,,,,,Cash Only,41.696666666666665,42.505,40.88833333333333,42.505,40.88833333333333,1.6166666666666742,4.033599467731223,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,56,42626.925,Outside,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,2711,INE283A01014,PRECOT,EQ,,,,,PRECOT LIMITED,825.0,899.0,736.1,771.4,748.0,799.15,,771.4,,,83139,69358033.1,3697,F1,1,,,,,,Cash Only,802.1666666666666,817.55,786.7833333333333,817.55,786.7833333333333,30.76666666666665,3.9884193241724986,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,4377435.95,Outside,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,8827,INE652Z01025,AVROIND,EQ,,,,,AVRO INDIA LIMITED,8.19,9.85,8.08,8.49,8.35,8.21,,8.49,,,1951060,17471402.95,4414,F1,1,,,,,,Cash Only,8.806666666666667,8.965,8.648333333333333,8.965,8.648333333333333,0.3166666666666664,3.729878288182172,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,2344350.76,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,21362,INE170V01027,SALASAR,EQ,,,,,SALASAR TECHNO ENGG. LTD.,5.84,6.65,5.81,5.9,5.87,5.76,,5.9,,,16918751,102147029.16,9451,F1,1,,,,,,Cash Only,6.12,6.23,6.01,6.23,6.01,0.2200000000000006,3.728813559322045,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,16458889.99,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,14485,INE083B01024,THEMISMED,EQ,,,,,THEMIS MEDICARE LTD.,108.45,116.75,102.28,103.96,103.8,108.64,,103.96,,,659470,71319082.43,6434,F1,1,,,,,,Cash Only,107.66333333333334,109.515,105.81166666666668,109.515,105.81166666666668,3.703333333333319,3.5622675387969593,Wide,Bearish,Below CPR,False,True,Unclassified,1.0,59,8232950.33,Overlapping,False,No setup
