SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
20MICRONS,20251128,189.2,198.01,183.61,191.34,64025727.08,20 MICRONS LTD,Diversified,Cash Only,20251128,190.98666666666668,190.81,191.16333333333336,191.16333333333336,190.81,0.35333333333335304,0.18466255531167192,Narrow,Bullish,Above CPR,True,False,0.35714285714285715,14,97531306.055,False,False,Lower,True,Risk Off,False,None,,,,,0.6564633415643436,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
21STCENMGM,20251128,39.0,39.0,36.03,38.25,1388086.41,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20251128,37.76,37.515,38.004999999999995,38.004999999999995,37.515,0.4899999999999949,1.2810457516339735,Wide,Bullish,Above CPR,False,False,0.5,14,1350067.455,True,False,Lower,True,Risk Off,False,None,,,,,1.0281607817884921,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
360ONE,20251128,1147.6,1186.0,1110.3,1183.2,6523762904.0,360 ONE WAM LIMITED,Financial Services,Cash Only,20251128,1159.8333333333333,1148.15,1171.5166666666664,1171.5166666666664,1148.15,23.366666666666333,1.9748704079332597,Wide,Bullish,Above CPR,False,False,0.8571428571428571,14,3464965128.05,False,False,Higher,True,Risk Off,False,None,,,,,1.8827788052433931,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
3IINFOLTD,20251128,17.21,17.44,16.82,16.97,30666947.990000002,3I INFOTECH LIMITED,Information Technology,Cash Only,20251128,17.076666666666668,17.130000000000003,17.023333333333333,17.130000000000003,17.023333333333333,0.10666666666666913,0.6285602042820809,Moderate,Bearish,Below CPR,False,False,0.35714285714285715,14,49774280.405,True,True,Lower,True,Risk Off,False,None,,,,,0.6161203686014394,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
3MINDIA,20251128,35455.0,35815.0,34735.0,34840.0,794904105.0,3M INDIA LIMITED,Diversified,Cash Only,20251128,35130.0,35275.0,34985.0,35275.0,34985.0,290.0,0.8323765786452353,Wide,Bearish,Below CPR,False,False,0.7857142857142857,14,597586345.0,False,False,Lower,True,Risk Off,False,None,,,,,1.3301912127861624,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
3PLAND,20251128,40.5,43.89,34.05,40.07,7333539.9,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20251128,39.336666666666666,38.97,39.70333333333333,39.70333333333333,38.97,0.7333333333333343,1.8301306047749795,Wide,Bullish,Above CPR,False,False,0.8571428571428571,14,1197014.435,False,False,Outside,True,Risk Off,False,None,,,,,6.1265258676684216,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
5PAISA,20251128,344.2,349.8,329.05,334.95,238537686.4,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20251128,337.93333333333334,339.425,336.44166666666666,339.425,336.44166666666666,2.9833333333333485,0.8906802010250332,Wide,Bearish,Below CPR,False,False,0.5,14,50792709.0,True,False,Overlapping,True,Risk Off,False,None,,,,,4.6962977776987636,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
63MOONS,20251128,736.0,937.65,705.0,907.9,8874143653.1,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20251128,850.1833333333334,821.325,879.0416666666667,879.0416666666667,821.325,57.7166666666667,6.357161214524363,Wide,Bullish,Above CPR,False,False,1.0,14,422003858.82500005,False,False,Higher,True,Risk Off,False,None,,,,,21.02858414093318,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
A2ZINFRA,20251128,15.71,16.15,15.1,15.48,18546484.6,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20251128,15.576666666666668,15.625,15.528333333333336,15.625,15.528333333333336,0.09666666666666401,0.6244616709732818,Moderate,Bearish,Below CPR,False,False,0.4,5,21303738.83,True,False,Lower,False,Risk Off,False,None,,,,,0.870574162967243,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AADHARHFC,20251128,484.6,496.2,479.5,481.15,773307383.15,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20251128,485.6166666666666,487.85,483.3833333333332,487.85,483.3833333333332,4.466666666666811,0.9283314281755816,Wide,Bearish,Below CPR,False,False,0.7857142857142857,14,820041264.425,False,False,Overlapping,True,Risk Off,False,None,,,,,0.9430103297207013,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AAKASH,20251128,8.76,9.27,8.18,8.82,2999941.9299999997,AAKASH EXPLORATION SER L,Diversified,Cash Only,20251128,8.756666666666666,8.725,8.788333333333332,8.788333333333332,8.725,0.06333333333333258,0.718065003779281,Moderate,Bullish,Above CPR,False,False,0.3333333333333333,9,3507547.26,False,False,Lower,False,Risk Off,False,None,,,,,0.8552819698857029,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AARON,20251128,196.33,199.26,182.64,186.27,14303095.450000001,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20251128,189.39,190.95,187.82999999999998,190.95,187.82999999999998,3.1200000000000045,1.6749879207601892,Wide,Bearish,Below CPR,False,False,0.8571428571428571,14,20796917.235,False,False,Lower,True,Risk Off,False,None,,,,,0.6877507511511718,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AARTECH,20251128,50.8,53.64,48.01,52.18,10812244.85,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20251128,51.27666666666667,50.825,51.72833333333334,51.72833333333334,50.825,0.903333333333336,1.7311869170819012,Wide,Bullish,Above CPR,False,False,0.5,14,13185068.435,False,False,Overlapping,True,Risk Off,False,None,,,,,0.8200370671796213,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AARTIDRUGS,20251128,444.75,444.75,423.5,424.85,364345699.75,AARTI DRUGS LTD.,Healthcare & Pharma,Cash Only,20251128,431.0333333333333,434.125,427.9416666666666,434.125,427.9416666666666,6.183333333333394,1.4554156368914661,Wide,Bearish,Below CPR,False,False,0.5714285714285714,14,386760816.95,False,False,Lower,True,Risk Off,False,None,,,,,0.9420439811437833,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
AARTIIND,20251128,384.05,385.8,376.65,382.3,677864801.65,AARTI INDUSTRIES LTD,Chemicals,Cash Only,20251128,381.5833333333333,381.225,381.9416666666666,381.9416666666666,381.225,0.7166666666665833,0.18746185369254076,Narrow,Bullish,Above CPR,True,False,0.35714285714285715,14,850462673.4,False,False,Lower,True,Risk Off,False,None,,,,,0.7970541481144797,False,False,No setup,0.0,None,Week 01 Dec – 05 Dec 2025,Weekly
