SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
20MICRONS,20260131,214.47,217.79,167.05,175.28,468682055.98,20 MICRONS LTD,Diversified,Cash Only,20260131,186.70666666666668,192.42000000000002,180.99333333333334,192.42000000000002,180.99333333333334,11.426666666666677,6.519093260307324,Wide,Bearish,Below CPR,False,False,1.0,6,405305297.36,False,False,Lower,True,Risk Off,False,None,,,,,1.1563679503643585,False,False,No setup,0.0,None,Feb 2026,Monthly
21STCENMGM,20260131,48.66,50.64,36.52,38.0,4119955.5,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260131,41.72,43.58,39.86,43.58,39.86,3.719999999999999,9.789473684210522,Wide,Bearish,Below CPR,False,False,1.0,6,5878977.835,False,False,Lower,True,Risk Off,False,None,,,,,0.7007945285100738,False,False,No setup,0.0,None,Feb 2026,Monthly
360ONE,20260131,1198.0,1236.2,1088.1,1134.3,33949914142.0,360 ONE WAM LIMITED,Financial Services,Cash Only,20260131,1152.8666666666668,1162.15,1143.5833333333335,1162.15,1143.5833333333335,18.566666666666606,1.6368391665931947,Wide,Bearish,Below CPR,False,False,0.5,6,17274414867.2,False,False,Overlapping,True,Risk Off,False,None,,,,,1.9653293268105307,False,False,No setup,0.0,None,Feb 2026,Monthly
3IINFOLTD,20260131,16.76,17.1,14.4,14.97,141498024.78,3I INFOTECH LIMITED,Information Technology,Cash Only,20260131,15.49,15.75,15.23,15.75,15.23,0.5199999999999996,3.473613894455575,Wide,Bearish,Below CPR,False,False,0.6666666666666666,6,167258355.20499998,False,False,Lower,True,Risk Off,False,None,,,,,0.8459847916510547,False,False,No setup,0.0,None,Feb 2026,Monthly
3MINDIA,20260131,35185.0,37305.0,32750.0,34390.0,2631898435.0,3M INDIA LIMITED,Diversified,Cash Only,20260131,34815.0,35027.5,34602.5,35027.5,34602.5,425.0,1.235824367548706,Wide,Bearish,Below CPR,False,False,0.6666666666666666,6,2705007845.0,False,False,Outside,True,Risk Off,False,None,,,,,0.9729725700666129,False,False,No setup,0.0,None,Feb 2026,Monthly
3PLAND,20260131,37.2,39.89,33.4,35.37,2415812.88,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260131,36.22,36.644999999999996,35.795,36.644999999999996,35.795,0.8499999999999943,2.403166525303914,Wide,Bearish,Below CPR,False,False,0.6666666666666666,6,5644480.49,False,False,Lower,True,Risk Off,False,None,,,,,0.42799561169180333,False,False,No setup,0.0,None,Feb 2026,Monthly
5PAISA,20260131,335.6,396.5,331.0,346.6,3009769608.15,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260131,358.0333333333333,363.75,352.3166666666666,363.75,352.3166666666666,11.433333333333394,3.298711290632831,Wide,Bearish,Below CPR,False,False,0.6666666666666666,6,2126154692.25,False,False,Higher,True,Risk Off,False,None,,,,,1.4155929571450494,False,False,No setup,0.0,None,Feb 2026,Monthly
63MOONS,20260131,718.9,747.0,575.05,648.5,1859259451.0,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260131,656.85,661.025,652.6750000000001,661.025,652.6750000000001,8.349999999999909,1.287586738627588,Wide,Bearish,Below CPR,False,False,0.3333333333333333,6,2209733427.775,True,False,Lower,True,Risk Off,False,None,,,,,0.8413953591099469,False,False,No setup,0.0,None,Feb 2026,Monthly
A2ZINFRA,20260131,16.63,16.99,13.12,14.13,67190753.26,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260131,14.746666666666668,15.055,14.438333333333336,15.055,14.438333333333336,0.6166666666666636,4.36423684831326,Wide,Bearish,Below CPR,False,False,0.75,4,69531936.575,False,False,Lower,False,Risk Off,False,None,,,,,0.9663293814278464,False,False,No setup,0.0,None,Feb 2026,Monthly
AAATECH,20260131,97.0,128.5,93.41,107.12,140850095.66,AAA TECHNOLOGIES LIMITED,Information Technology,Cash Only,20260131,109.67666666666666,110.955,108.39833333333333,110.955,108.39833333333333,2.556666666666672,2.3867313915857653,Wide,Bearish,Below CPR,False,False,0.75,4,147857852.98000002,False,False,Higher,False,Risk Off,False,None,,,,,0.9526047674928168,False,False,No setup,0.0,None,Feb 2026,Monthly
AADHARHFC,20260131,489.0,509.25,466.1,491.3,3129293758.65,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20260131,488.8833333333334,487.675,490.09166666666675,490.09166666666675,487.675,2.4166666666667425,0.49189225863357267,Moderate,Bullish,Above CPR,False,False,0.5,6,3045523932.5,False,False,Higher,True,Risk Off,False,None,,,,,1.0275058833903943,False,False,No setup,0.0,None,Feb 2026,Monthly
AAKASH,20260131,8.91,9.24,7.21,7.81,12324825.8,AAKASH EXPLORATION SER L,Diversified,Cash Only,20260131,8.086666666666666,8.225,7.948333333333332,8.225,7.948333333333332,0.2766666666666673,3.5424669227486207,Wide,Bearish,Below CPR,False,False,1.0,5,12990896.42,False,False,Lower,False,Risk Off,False,None,,,,,0.9487278938676967,False,False,No setup,0.0,None,Feb 2026,Monthly
AAREYDRUGS,20260131,68.87,73.0,60.54,67.6,332373772.23,AAREY DRUGS & PHARM LTD,Healthcare & Pharma,Cash Only,20260131,67.04666666666667,66.77,67.32333333333334,67.32333333333334,66.77,0.5533333333333417,0.8185404339250617,Wide,Bullish,Above CPR,False,False,0.5,2,345233748.105,False,False,Lower,False,Risk Off,False,None,,,,,0.9627499456655415,False,False,No setup,0.0,None,Feb 2026,Monthly
AARON,20260131,169.6,180.1,149.55,152.77,41270699.08,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20260131,160.80666666666664,164.825,156.7883333333333,164.825,156.7883333333333,8.03666666666669,5.260631450328395,Wide,Bearish,Below CPR,False,False,0.8333333333333334,6,62975862.745,False,False,Lower,True,Risk Off,False,None,,,,,0.6553415432689202,False,False,No setup,0.0,None,Feb 2026,Monthly
AARTECH,20260131,48.5,58.0,44.0,45.01,61440987.17,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20260131,49.00333333333333,51.0,47.00666666666666,51.0,47.00666666666666,3.9933333333333394,8.8721024957417,Wide,Bearish,Below CPR,False,False,1.0,6,52570373.155,False,False,Outside,True,Risk Off,False,None,,,,,1.1687378932777521,False,False,No setup,0.0,None,Feb 2026,Monthly
AARTIDRUGS,20260131,412.55,417.7,362.25,381.05,770340019.9,AARTI DRUGS LTD.,Healthcare & Pharma,Cash Only,20260131,387.0,389.975,384.025,389.975,384.025,5.9500000000000455,1.5614748720640454,Wide,Bearish,Below CPR,False,False,0.3333333333333333,6,1580573935.075,True,False,Lower,True,Risk Off,False,None,,,,,0.487379933836152,False,False,No setup,0.0,None,Feb 2026,Monthly
