SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
GTLINFRA,EQ,GTL INFRA.LTD,1.32,1.38,1.32,1.35,48909167,66092544.87,20260525,1.3500000000000003,1.35,1.3500000000000003,1.3500000000000003,1.35,4.440892098500626e-16,3.2895497025930565e-14,Narrow,Bullish,Inside CPR,Cash Only,Real Estate & Infra,False,False,0.3333333333333333,3,47714777.89,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PFIZER,EQ,PFIZER LTD,4689.9,4720.0,4658.3,4689.2,11559,54175809.9,20260525,4689.166666666667,4689.15,4689.183333333334,4689.183333333334,4689.15,0.0333333333346672,0.0007108533083397,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,96936270.7,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,146.95,159.9,145.09,152.5,559114,86178726.69,20260525,152.49666666666667,152.495,152.4983333333333,152.4983333333333,152.495,0.0033333333333303,0.0021857923497247,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,22125100.24,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ELECTHERM,EQ,ELECTROTHERM (I) LTD.,773.85,791.9,750.0,771.0,58887,45375478.0,20260525,770.9666666666667,770.95,770.9833333333333,770.9833333333333,770.95,0.033333333333303,0.0043233895373933,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,131766848.45,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ITC,EQ,ITC LTD,303.95,305.5,302.35,303.95,15734247,4779749001.55,20260525,303.93333333333334,303.925,303.94166666666666,303.94166666666666,303.925,0.0166666666666515,0.0054833580084393,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.3333333333333333,3,6734348842.6,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PURVA,EQ,PURAVANKARA LIMITED,229.9,233.7,226.04,229.89,494829,113822497.13,20260525,229.8766666666667,229.87,229.88333333333333,229.88333333333333,229.87,0.0133333333333212,0.0057998753026757,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,69241384.82,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MARUTI,EQ,MARUTI SUZUKI INDIA LTD.,13145.0,13236.0,13101.0,13170.0,276553,3640375858.0,20260525,13169.0,13168.5,13169.5,13169.5,13168.5,1.0,0.0075930144267274,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,False,0.3333333333333333,3,3640375858.0,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MANAKALUCO,EQ,MANAK ALUMINIUM CO. LTD.,33.75,36.44,33.75,35.1,102121,3596176.64,20260525,35.096666666666664,35.095,35.09833333333333,35.09833333333333,35.095,0.0033333333333303,0.0094966761633341,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,1772164.31,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAURASHCEM,EQ,SAURASHTRA CEMENT LIMITED,61.75,62.3,60.2,61.26,41834,2574524.43,20260525,61.25333333333333,61.25,61.25666666666666,61.25666666666666,61.25,0.0066666666666606,0.0108825769942223,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,2895534.74,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WIPRO,EQ,WIPRO LTD,207.0,209.55,204.06,206.84,72041558,14939079346.43,20260525,206.8166666666667,206.805,206.82833333333335,206.82833333333335,206.805,0.0233333333333689,0.0112808612131932,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,8135197427.41,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INTELLECT,EQ,INTELLECT DESIGN ARENA,701.7,726.35,700.0,713.3,350927,251352021.8,20260525,713.2166666666666,713.175,713.2583333333332,713.2583333333332,713.175,0.0833333333332575,0.0116827889153592,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,176507187.85,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RAYMOND,EQ,RAYMOND LTD,557.05,569.0,548.6,558.9,858125,479154365.1,20260525,558.8333333333334,558.8,558.8666666666668,558.8666666666668,558.8,0.0666666666668334,0.0119281922824894,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,485248190.2,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MAFATIND,EQ,MAFATLAL INDUSTRIES LTD.,127.16,130.0,125.87,127.96,32433,4153144.07,20260525,127.94333333333331,127.935,127.95166666666664,127.95166666666664,127.935,0.0166666666666515,0.0130249036157013,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,2354780.65,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
