SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe
20MICRONS,20251128,189.2,198.01,183.61,191.34,64025727.08,20 MICRONS LTD,20251128,190.98666666666668,190.81,191.16333333333336,191.16333333333336,190.81,0.35333333333335304,0.18466255531167192,Narrow,Bullish,Above CPR,Unclassified,False,True,False,0.23529411764705882,17,96310838.02,Lower,True,Unknown,True,12.855,,,0.02748606249189833,0.6647821615538675,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
21STCENMGM,20251128,39.0,39.0,36.03,38.25,1388086.41,21ST CENTURY MGMT SERVICE,20251128,37.76,37.515,38.004999999999995,38.004999999999995,37.515,0.4899999999999949,1.2810457516339735,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5294117647058824,17,1323645.04,Lower,True,Unknown,False,3.1635714285714287,,,0.15488823662226073,1.0486847818354683,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
360ONE,20251128,1147.6,1186.0,1110.3,1183.2,6523762904.0,360 ONE WAM LIMITED,20251128,1159.8333333333333,1148.15,1171.5166666666664,1171.5166666666664,1148.15,23.366666666666333,1.9748704079332597,Wide,Bullish,Above CPR,Financial Services,True,False,False,0.8235294117647058,17,3488170725.6,Higher,True,Unknown,False,69.97142857142862,,,0.3339458282292042,1.870253326800066,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
3IINFOLTD,20251128,17.21,17.44,16.82,16.97,30666947.990000002,3I INFOTECH LIMITED,20251128,17.076666666666668,17.130000000000003,17.023333333333333,17.130000000000003,17.023333333333333,0.10666666666666913,0.6285602042820809,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.29411764705882354,17,42396442.56,Lower,True,Unknown,False,1.9892857142857139,,,0.05362058647516582,0.7233377646390905,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
3MINDIA,20251128,35455.0,35815.0,34735.0,34840.0,794904105.0,3M INDIA LIMITED,20251128,35130.0,35275.0,34985.0,35275.0,34985.0,290.0,0.8323765786452353,Wide,Bearish,Below CPR,Diversified,True,False,False,0.7058823529411765,17,623691335.0,Lower,True,Unknown,False,1568.5714285714287,,,0.1848816029143898,1.2745152295566204,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
3PLAND,20251128,40.5,43.89,34.05,40.07,7333539.9,3P LAND HOLDINGS LIMITED,20251128,39.336666666666666,38.97,39.70333333333333,39.70333333333333,38.97,0.7333333333333343,1.8301306047749795,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7058823529411765,17,1409880.26,Outside,True,Unknown,False,3.829999999999999,,,0.19147084421235885,5.201533852243594,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
5PAISA,20251128,344.2,349.8,329.05,334.95,238537686.4,5PAISA CAPITAL LIMITED,20251128,337.93333333333334,339.425,336.44166666666666,339.425,336.44166666666666,2.9833333333333485,0.8906802010250332,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5294117647058824,17,27647315.549999997,Overlapping,True,Unknown,False,25.939285714285717,,,0.11501216210014285,8.627878752590142,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
63MOONS,20251128,736.0,937.65,705.0,907.9,8874143653.1,63 MOONS TECHNOLOGIES LTD,20251128,850.1833333333334,821.325,879.0416666666667,879.0416666666667,821.325,57.7166666666667,6.357161214524363,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,17,432486694.05,Higher,True,Unknown,False,71.90357142857142,,,0.8026954088643856,20.518882488611442,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
A2ZINFRA,20251128,15.71,16.15,15.1,15.48,18546484.6,A2Z INFRA ENGINEERING LTD,20251128,15.576666666666668,15.625,15.528333333333336,15.625,15.528333333333336,0.09666666666666401,0.6244616709732818,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.4,5,21303738.83,Lower,False,Unknown,False,,,,,0.870574162967243,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
AADHARHFC,20251128,484.6,496.2,479.5,481.15,773307383.15,AADHAR HOUSING FINANCE L,20251128,485.6166666666666,487.85,483.3833333333332,487.85,483.3833333333332,4.466666666666811,0.9283314281755816,Wide,Bearish,Below CPR,Financial Services,True,False,False,0.7058823529411765,17,848962700.15,Overlapping,True,Unknown,False,27.13928571428571,,,0.16458305917445812,0.9108849929606652,False,False,No setup,Week 01 Dec – 05 Dec 2025,Weekly
